Ladekurvenmessung
Zeit: 2018_05_03 13.53.46
Info: FVA3, v = 2.06, T = 40, F = 20, h = 599.6
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16	Kurve_17	Kurve_18
106	0.005898	0.002775	0.00294	0.005405	0.001625	0.008857	0.005241	-0.000347	0.007706	-0.001498	-0.004949	-0.006593	-0.030589	0.016746	0.005405	0.002775	-0.00873	0.021348
107	0.003926	0.003268	0.002282	0.005076	-0.001498	0.006062	0.007377	-0.001662	0.005076	-0.004456	-0.00232	-0.005607	-0.027959	0.021841	0.007049	0.003433	-0.006593	0.021183
108	0.006227	0.001954	0.000967	0.004912	-0.002155	0.007377	0.008692	0.000474	0.00672	-0.004949	-0.002648	-0.006922	-0.02155	0.018389	0.007049	0.002118	-0.006757	0.023156
109	0.006391	0.002447	0.00031	0.00294	-0.001498	0.007049	0.005734	-0.001005	0.003104	-0.003963	-0.002977	-0.004785	-0.016948	0.022169	0.003268	0.003104	-0.008072	0.028744
110	0.008528	0.002447	0.000967	0.004912	-1.9e-05	0.007706	0.006884	-0.004949	0.005734	-0.002813	0.00146	-0.004785	-0.013003	0.019375	0.006884	0.002118	-0.007579	0.026771
111	0.005076	0.005898	0.00031	0.003104	-0.000676	0.006062	0.001954	-0.002484	0.005076	-0.005278	-0.000676	-0.001662	-0.012839	0.017239	0.005569	0.001954	-0.006264	0.030059
112	0.003433	0.000803	0.001296	0.006884	-0.000183	0.008035	0.007213	-0.003306	0.004583	0.000639	0.001296	-0.002484	-0.011031	0.015431	0.008363	0.002118	-0.005278	0.030552
113	0.005734	0.003761	-0.001169	0.004748	0.000967	0.008857	0.005405	-0.001991	0.006062	-0.005278	0.00146	-0.000183	-0.010373	0.015924	0.010829	0.003104	-0.007086	0.03351
114	0.007213	0.001296	0.000639	0.006391	0.000803	0.00672	0.002282	-0.002155	0.002447	-0.004785	0.003761	0.00146	-0.011031	0.012965	0.011651	0.000474	-0.006593	0.03236
115	0.004912	0.001296	-0.000841	0.006227	0.000146	0.008199	0.008857	-0.00232	0.006227	-0.00725	0.001132	0.000474	-0.014975	0.015102	0.014773	0.000803	-0.005443	0.034003
116	0.008857	0.001625	0.004255	0.002611	-0.001169	0.004748	0.004912	0.001296	0.003926	-0.003306	0.001954	0.00031	-0.01629	0.012637	0.010007	-0.000512	-0.001991	0.036797
117	0.004748	0.001625	0.00146	0.001954	0.000967	0.008363	0.007213	-0.000183	0.003597	-0.007744	0.002611	0.003761	-0.017769	0.010664	0.011158	0.000803	-0.000347	0.036304
118	0.00672	0.003926	0.002775	0.003597	-0.000183	0.005734	0.008692	-0.000676	0.004583	-0.007908	0.004419	0.000803	-0.020728	0.013623	0.012144	0.000146	0.000474	0.041564
