x-axis,y_1,y_2
Hz,Cp,D 
87130.000000,8.651991E-12,7.191348E-02
87377.500000,8.668490E-12,6.958833E-02
87625.000000,8.662604E-12,6.825759E-02
87872.500000,8.658083E-12,7.250141E-02
88120.000000,8.669765E-12,7.297195E-02
88367.500000,8.661075E-12,7.013064E-02
88615.000000,8.664417E-12,7.161607E-02
88862.500000,8.653221E-12,7.104769E-02
89110.000000,8.628045E-12,7.341904E-02
89357.500000,8.651516E-12,7.030600E-02
89605.000000,8.657224E-12,7.177117E-02
89852.500000,8.649182E-12,7.272631E-02
90100.000000,8.638742E-12,7.351082E-02
90347.500000,8.638212E-12,7.007837E-02
90595.000000,8.664368E-12,6.950507E-02
90842.500000,8.623583E-12,7.196011E-02
91090.000000,8.664778E-12,7.258920E-02
91337.500000,8.637682E-12,7.163429E-02
91585.000000,8.628384E-12,7.190396E-02
91832.500000,8.640451E-12,7.168670E-02
92080.000000,8.632428E-12,6.881166E-02
92327.500000,8.626384E-12,7.127342E-02
92575.000000,8.628960E-12,7.562308E-02
92822.500000,8.657100E-12,6.987062E-02
93070.000000,8.635669E-12,7.273896E-02
93317.500000,8.619340E-12,7.144279E-02
93565.000000,8.613008E-12,7.152889E-02
93812.500000,8.626962E-12,7.173172E-02
94060.000000,8.625990E-12,7.183280E-02
94307.500000,8.610195E-12,6.918939E-02
94555.000000,8.612757E-12,7.542317E-02
94802.500000,8.631989E-12,7.272235E-02
95050.000000,8.619397E-12,7.337279E-02
95297.500000,8.610866E-12,7.327982E-02
95545.000000,8.607112E-12,7.395426E-02
95792.500000,8.611747E-12,7.448668E-02
96040.000000,8.616246E-12,7.162329E-02
96287.500000,8.596842E-12,7.369959E-02
96535.000000,8.617206E-12,7.457087E-02
96782.500000,8.603764E-12,7.179315E-02
97030.000000,8.639252E-12,6.955496E-02
97277.500000,8.606904E-12,7.207324E-02
97525.000000,8.621182E-12,6.996464E-02
97772.500000,8.611021E-12,7.239249E-02
98020.000000,8.629049E-12,7.093761E-02
98267.500000,8.591360E-12,7.261552E-02
98515.000000,8.612899E-12,7.003427E-02
98762.500000,8.596632E-12,7.285925E-02
99010.000000,8.603660E-12,7.282842E-02
99257.500000,8.593400E-12,7.091447E-02
99505.000000,8.577546E-12,7.141796E-02
99752.500000,8.610029E-12,7.052776E-02
100000.000000,8.596332E-12,7.073795E-02
50623.750000,2.508648E-11,6.247082E+01
50747.500000,2.507167E-11,6.235404E+01
50871.250000,2.511725E-11,6.209127E+01
50995.000000,2.518541E-11,6.177022E+01
51118.750000,2.509238E-11,6.184761E+01
51242.500000,2.502101E-11,6.187758E+01
51366.250000,2.508699E-11,6.156260E+01
51490.000000,2.510713E-11,6.136722E+01
51613.750000,2.517019E-11,6.106584E+01
51737.500000,2.513714E-11,6.099719E+01
51861.250000,2.508163E-11,6.098991E+01
51985.000000,2.511688E-11,6.075937E+01
52108.750000,2.518039E-11,6.046236E+01
52232.500000,2.519042E-11,6.029473E+01
52356.250000,2.510638E-11,6.035182E+01
52480.000000,2.518884E-11,6.001384E+01
52603.750000,2.510566E-11,6.006898E+01
52727.500000,2.521303E-11,5.967479E+01
52851.250000,2.515746E-11,5.966692E+01
52975.000000,2.517823E-11,5.947844E+01
53098.750000,2.527057E-11,5.912493E+01
53222.500000,2.518382E-11,5.918591E+01
53346.250000,2.519648E-11,5.901978E+01
53470.000000,2.514072E-11,5.901438E+01
53593.750000,2.523461E-11,5.865963E+01
53717.500000,2.520411E-11,5.859150E+01
53841.250000,2.523218E-11,5.839543E+01
53965.000000,2.521994E-11,5.828828E+01
54088.750000,2.525858E-11,5.806947E+01
54212.500000,2.522286E-11,5.801647E+01
54336.250000,2.519693E-11,5.794281E+01
54460.000000,2.527834E-11,5.762412E+01
54583.750000,2.528085E-11,5.748939E+01
54707.500000,2.529656E-11,5.732347E+01
54831.250000,2.523059E-11,5.734554E+01
54955.000000,2.527241E-11,5.712118E+01
55078.750000,2.524351E-11,5.705720E+01
55202.500000,2.528025E-11,5.684628E+01
55326.250000,2.525099E-11,5.678500E+01
55450.000000,2.527892E-11,5.659635E+01
55573.750000,2.530043E-11,5.642145E+01
55697.500000,2.533470E-11,5.622084E+01
55821.250000,2.534897E-11,5.606478E+01
55945.000000,2.532657E-11,5.599038E+01
56068.750000,2.534099E-11,5.583482E+01
56192.500000,2.528597E-11,5.583333E+01
56316.250000,2.534226E-11,5.558649E+01
56440.000000,2.533307E-11,5.548513E+01
56563.750000,2.534825E-11,5.533033E+01
56687.500000,2.538388E-11,5.513174E+01
56811.250000,2.530747E-11,5.517667E+01
56935.000000,2.534195E-11,5.498308E+01
57058.750000,2.536696E-11,5.480870E+01
57182.500000,2.538803E-11,5.464336E+01
57306.250000,2.530123E-11,5.471611E+01
57430.000000,2.534922E-11,5.449304E+01
57553.750000,2.536376E-11,5.434715E+01
57677.500000,2.537853E-11,5.419735E+01
57801.250000,2.530150E-11,5.424656E+01
57925.000000,2.534502E-11,5.403559E+01
58048.750000,2.540511E-11,5.379314E+01
58172.500000,2.540489E-11,5.367938E+01
58296.250000,2.534357E-11,5.370006E+01
58420.000000,2.544927E-11,5.336025E+01
58543.750000,2.532044E-11,5.351826E+01
58667.500000,2.547541E-11,5.308028E+01
58791.250000,2.534755E-11,5.323397E+01
58915.000000,2.532798E-11,5.316408E+01
59038.750000,2.542754E-11,5.284406E+01
59162.500000,2.542674E-11,5.273634E+01
59286.250000,2.539095E-11,5.270062E+01
59410.000000,2.543589E-11,5.249845E+01
59533.750000,2.541624E-11,5.242785E+01
59657.500000,2.538048E-11,5.239219E+01
59781.250000,2.550090E-11,5.203792E+01
59905.000000,2.543294E-11,5.207011E+01
60028.750000,2.559274E-11,5.163902E+01
60152.500000,2.550692E-11,5.169859E+01
60276.250000,2.552403E-11,5.156406E+01
60400.000000,2.544485E-11,5.162227E+01
60523.750000,2.545125E-11,5.150549E+01
60647.500000,2.565590E-11,5.097632E+01
60771.250000,2.551425E-11,5.116602E+01
60895.000000,2.551113E-11,5.106331E+01
61018.750000,2.554625E-11,5.089140E+01
61142.500000,2.550878E-11,5.086512E+01
61266.250000,2.542277E-11,5.093092E+01
61390.000000,2.551296E-11,5.065132E+01
61513.750000,2.560803E-11,5.035740E+01
61637.500000,2.553330E-11,5.040655E+01
61761.250000,2.559056E-11,5.019442E+01
61885.000000,2.557554E-11,5.012210E+01
62008.750000,2.560126E-11,4.997274E+01
62132.500000,2.549618E-11,5.007827E+01
62256.250000,2.559410E-11,4.978681E+01
62380.000000,2.548319E-11,4.990414E+01
62503.750000,2.562751E-11,4.952912E+01
62627.500000,2.562743E-11,4.942903E+01
62751.250000,2.550333E-11,4.957019E+01
62875.000000,2.559333E-11,4.929982E+01
62998.750000,2.546427E-11,4.945122E+01
63122.500000,2.558138E-11,4.912832E+01
63246.250000,2.559661E-11,4.900402E+01
63370.000000,2.554986E-11,4.899744E+01
63493.750000,2.561604E-11,4.877596E+01
63617.500000,2.558018E-11,4.874819E+01
63741.250000,2.558897E-11,4.863846E+01
